id,geokret,lat,lon,elevation,country,distance,waypoint,author,comment,pictures_count,comments_count,username,app,app_ver,created_on_datetime,moved_on_datetime,updated_on_datetime,move_type,position,comment_hidden
6117049,56678,49.5405,8.48868,103,DE,0,GCAB4D2,31022,Hier musste ich eine Weile suchen.,0,0,NULL,c:geo,2025.01.18,2025-02-15 16:24:47+00,2025-02-15 16:24:00+00,2025-03-22 18:23:00+00,5,0101000020E6100000276BD44334FA204077BE9F1A2FC54840,False
6117048,86930,NULL,NULL,NULL,NULL,NULL,NULL,51206,"Grabbed from event GCB26J1, ""Pirkanmaan miittiputki jatkot helmikuu 12.2."", held in Tampere, Finland.

First Krety that I've stumbled on.",0,0,NULL,www,v2.55.1,2025-02-15 16:17:26+00,2025-02-12 16:13:00+00,2025-02-15 16:17:26+00,1,NULL,False
6117047,102322,55.66021,37.51254,199,RU,0,NULL,23452,Родился здесь,0,0,NULL,www,v2.55.1,2025-02-15 16:11:50+00,2025-02-15 16:11:50+00,2025-03-22 18:23:00+00,5,0101000020E610000028F224E99AC14240FF3EE3C281D44B40,False
6117046,68646,NULL,NULL,NULL,NULL,NULL,NULL,42059,Забрал,0,0,NULL,www,v2.55.1,2025-02-15 16:10:33+00,2025-01-04 12:10:00+00,2025-02-15 16:10:33+00,1,NULL,False
6117045,97074,NULL,NULL,NULL,NULL,NULL,NULL,42059,Забрал,0,0,NULL,www,v2.55.1,2025-02-15 16:08:48+00,2025-01-25 12:08:00+00,2025-02-15 16:08:48+00,1,NULL,False
6117044,102321,55.66021,37.51254,199,RU,0,NULL,23452,Родился здесь,0,0,NULL,www,v2.55.1,2025-02-15 16:08:06+00,2025-02-15 16:08:06+00,2025-03-22 18:23:00+00,5,0101000020E610000028F224E99AC14240FF3EE3C281D44B40,False
6117043,74098,NULL,NULL,NULL,NULL,NULL,NULL,42059,Взят,0,0,NULL,www,v2.55.1,2025-02-15 16:06:48+00,2025-01-03 10:06:00+00,2025-02-15 16:06:48+00,1,NULL,False
6117042,56678,49.53943,8.48637,102,DE,0,GC9P128,31022,"Erst mussten wir etwas suchen, hatten aber dann Erfolg.",0,0,NULL,c:geo,2025.01.18,2025-02-15 16:05:55+00,2025-02-15 16:05:00+00,2025-03-22 18:23:00+00,5,0101000020E6100000D482177D05F920409B3DD00A0CC54840,False
6117041,102320,55.66021,37.51254,199,RU,0,NULL,23452,Родился здесь,0,0,NULL,www,v2.55.1,2025-02-15 16:02:35+00,2025-02-15 16:02:35+00,2025-03-22 18:23:00+00,5,0101000020E610000028F224E99AC14240FF3EE3C281D44B40,False
6117040,56678,49.53853,8.48877,103,DE,0,GCAB4CV,31022,Hier hat unser Rotkäppchen erfolgreich geholfen,0,0,NULL,c:geo,2025.01.18,2025-02-15 15:54:35+00,2025-02-15 15:53:00+00,2025-03-22 18:23:00+00,5,0101000020E61000002788BA0F40FA20401BF5108DEEC44840,False
